iter	Passed	Remaining
897	3041	345
898	3044	341
899	3046	338
900	3049	335
901	3052	331
902	3055	328
903	3058	324
904	3064	321
905	3068	318
906	3071	314
907	3073	311
908	3076	307
909	3079	304
910	3082	301
911	3085	297
912	3089	294
913	3093	291
914	3097	287
915	3101	284
916	3104	280
917	3107	277
918	3110	274
919	3112	270
920	3115	267
921	3118	263
922	3120	260
923	3123	256
924	3126	253
925	3129	250
926	3132	246
927	3135	243
928	3138	239
929	3141	236
930	3144	233
931	3147	229
932	3149	226
933	3152	222
934	3154	219
935	3157	215
936	3160	212
937	3164	209
938	3166	205
939	3169	202
940	3171	198
941	3174	195
942	3178	192
943	3182	188
944	3186	185
945	3189	182
946	3193	178
947	3196	175
948	3199	171
949	3201	168
950	3204	165
951	3207	161
952	3210	158
953	3212	154
954	3215	151
955	3218	148
956	3221	144
957	3225	141
958	3227	137
959	3230	134
960	3233	131
961	3235	127
962	3239	124
963	3241	121
964	3244	117
965	3246	114
966	3249	110
967	3252	107
968	3255	104
969	3258	100
970	3261	97
971	3264	94
972	3266	90
973	3270	87
974	3273	83
975	3275	80
976	3278	77
977	3281	73
978	3284	70
979	3287	67
980	3290	63
981	3294	60
982	3296	57
983	3299	53
984	3302	50
985	3305	46
986	3308	43
987	3310	40
988	3313	36
989	3317	33
990	3320	30
991	3323	26
992	3326	23
993	3329	20
994	3333	16
995	3337	13
996	3342	10
997	3349	6
998	3364	3
999	3368	0
